Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
4932249fb35bb249550370c789152d4f76ba39a3,"Fix https://github.com/julianhyde/linq4j/issues/27, ""Incorrectly inlines non-final variable"".",['5f3ea8db67dc3c6ed3c4821db85c66918fbe6dfc'],False,"['Linq4j.java', 'BlockBuilder.java', 'InlinerTest.java', 'OptimizerTest.java']"
8157acaf1c9e3a7fa72b8bb353572261aa333d5a,"Fix https://github.com/julianhyde/optiq/issues/294, ""Implement DENSE_RANK windowed aggregate function"".

Changes to the `AggImplementor` and `WinAggImplementor` interfaces to provide richer context to user code implementing a (windowed) aggregate function.

RelDataType instances created via built-in type strategies are now NOW NULL. Add 'boolean nullable' parameter to RelDataTypeImpl.proto methods.

Upgrade to linq4j-0.4, and add 'final' to code-generator variables, per https://github.com/julianhyde/linq4j/issues/27.",['e2bff30892d5464a9d645e21a658ef734c63215a'],False,"['BuiltinMethod.java', 'JdbcToEnumerableConverter.java', 'AggImplementor.java', 'EnumerableRelImplementor.java', 'JavaRules.java', 'PhysTypeImpl.java', 'RexImpTable.java', 'RexToLixTranslator.java', 'WinAggImplementor.java', 'RelCollationImpl.java', 'RelDataTypeImpl.java', 'ReturnTypes.java', 'JdbcTest.java', 'DiffTestCase.java', 'SqlValidatorTest.java', 'winagg.oq', 'pom.xml']"
4d8fb0901782ee9cf59af51b989e879ce586beee,Fix a NPE.,['ef2a54c8620751c56059dfb89e9b080ece516ef6'],False,['SqlTypeExplicitPrecedenceList.java']
f256dbfb31c1a4dbbfcfb6302460cdee1dd90389,Switch from github to Apache JIRA for issues tracking.,['08533094986a6dd81be61def722be53d64cdf8c0'],False,"['README.md', 'pom.xml']"
e90183d9958a9d2930f958eaa30258c7de67276a,Add DynamoBI join-optimizer rules. (Headers and packages have not been changed.),['ddad58826121d29362539f240ea32660811dc09b'],False,"['LoptJoinTree.java', 'LoptMultiJoin.java', 'LoptOptimizeJoinRule.java', 'LoptSemiJoinOptimizer.java']"
8a8339f0f6127a89951c86dbcda1af42f5b9036c,"Change headers, fix formatting and other minor cleanup. Add method IntPair.zip.",['e90183d9958a9d2930f958eaa30258c7de67276a'],False,"['RelMetadataQuery.java', 'CalcRelSplitter.java', 'LoptJoinTree.java', 'LoptMultiJoin.java', 'LoptOptimizeJoinRule.java', 'LoptSemiJoinOptimizer.java', 'PullConstantsThroughAggregatesRule.java', 'PushSemiJoinPastJoinRule.java', 'RelOptUtil.java', 'RexProgram.java', 'SqlAdvisor.java', 'RelDecorrelator.java', 'SqlToRelConverter.java', 'RhBase64.java', 'IntPair.java', 'ConcurrentTestCommandGenerator.java', 'UtilTest.java']"
a1557c2927b446feebc1895208fc7a84451e2e95,[OPTIQ-309] WITH ... ORDER BY query gives AssertionError,['90d0d79ec253af65c0c06323f43a90a672e0e73f'],False,"['SqlValidatorImpl.java', 'SqlToRelConverter.java', 'JdbcTest.java']"
d940fa3090f3014fc91d1015648133207d6ee123,Add test case for query decorrelation bug [OPTIQ-313].,['e0b2f8348ac97a666004c10ab93e6143358aa5cc'],False,"['Prepare.java', 'Hook.java', 'JdbcTest.java', 'OptiqAssert.java', 'TpchTest.java']"
96a949f2ea24fa287bdb0b3fd4283ecff8812851,Oops! (Expected result changed following merge.),['d940fa3090f3014fc91d1015648133207d6ee123'],False,['JdbcTest.java']
349bd74d61cdf216264fa5101f4299d202f2c2af,Update history: release 0.8 changes and issue URLs,['96a949f2ea24fa287bdb0b3fd4283ecff8812851'],False,['HISTORY.md']
1de5cf80a50fbf21b0bfb3cf43ed98f3edd51b72,Fix nested lists in history.,['349bd74d61cdf216264fa5101f4299d202f2c2af'],False,['HISTORY.md']
86a6f8c53f3e978574dbbae7c40a5efd5a736e2b,"Change Prepare.trim to a thread-local, to fix non-determinism in tests.",['1de5cf80a50fbf21b0bfb3cf43ed98f3edd51b72'],False,"['Prepare.java', 'JdbcTest.java', 'MaterializationTest.java']"
2db452ecbe0837d9f8207b5862558c031ac4aa7b,Fix a bug where composite SELECT DISTINCT would return duplicate rows.,['71ebeaa81ad92845a145191cd31f2d6448d14a50'],False,"['JavaRules.java', 'agg.oq']"
89475fe8f6302550accf68bf3f975cdcd999e825,Change misleading variable name.,['8a91027c157e8c34ee1944faabb1353ec866d72a'],False,['RexBuilder.java']
0bf85206bbac8078d9298c7e68737d32405fa596,"[OPTIQ-318] Add unit test for SqlRun

SqlRun prints errors inline, as opposed to crapping out.",['1299a39340df5b9f347eb839071aa39bb0653598'],False,"['SqlRun.java', 'OptiqSuite.java', 'SqlRunTest.java']"
dd1b946c03a9b872284236c2c02d840008f07ff1,"Added support for date types (date, time, timestamp).

With this change, .getMetadata() reports the correct java.sql.Date
type for columns marked as date. The .getDate() on a row also returns a
java.sql.Date object. Since jdbc expects dates to be in the GMT
timezone, the dates are converted first.",['0b7a008964595fa5da95f17546af26df1473efea'],False,"['pom.xml', 'CsvEnumerator.java', 'CsvFieldType.java', 'CsvTest.java', 'DATE.csv']"
3018d18cc92815a9218eda1c77e30f43a4bf6630,"Cleanup, and fix minor timezone issue in a test.",['dd1b946c03a9b872284236c2c02d840008f07ff1'],False,"['CsvEnumerator.java', 'CsvFieldType.java', 'CsvTest.java']"
899a62936d5f4fbde6d877e503d03929fdfc7ae0,"[OPTIQ-303] Migrate issue URLs

Also fix a few javadoc errors.",['c34c144874cb9acbbafa8ff51f35a4f31cadee98'],False,"['ImplementableAggFunction.java', 'WinAggFrameContext.java', 'SqlOperator.java', 'JdbcFrontLinqBackTest.java', 'JdbcTest.java', 'ReflectiveSchemaTest.java', 'SqlToRelConverterTest.java', 'SqlValidatorTest.java', 'MongoAdapterTest.java']"
b62097ede731504684fbb6c478206cdf4b1c7c46,[OPTIQ-326] Fix RelOptUtil ANY type check.,['ff40b4e095420add9b44c228958f51b4b00eb756'],False,['RelOptUtil.java']
a178a7052820afd28ce54508629c9ec6fe390463,[OPTIQ-325] Use Java list instead of Guava list to avoid null checks in case of SqlTypeExplicitPrecedenceList.,['b62097ede731504684fbb6c478206cdf4b1c7c46'],False,['SqlTypeExplicitPrecedenceList.java']
f82c9f57e6e2c0a0be31aee646d307f325feee63,[OPTIQ-323] Override SqlUnresolvedFunction.inferReturnType() to return 'ANY' type so framework implementors can support late bound function implementations.,['a178a7052820afd28ce54508629c9ec6fe390463'],False,['SqlUnresolvedFunction.java']
69b3a5347a59339d5fad0448976985d0a09b5f85,[OPTIQ-305] Unit Test Failure on release candidates,['f12be81412495e325c3b214a70482d86d4766d8d'],False,"['DriverVersion.java', 'JdbcTest.java', 'pom.xml']"
f247bc610f8b8ddfd657e7a4dc00ea2e32fe9bed,[OPTIQ-340] Fix bug in SqlToRelConverter when push expressions in join condtions into Project.,['0db3489f5101efd0caa86c7f728a77cac6330c70'],False,"['SqlToRelConverter.java', 'misc.oq']"
33e80e21ff1fcf546883c3b0589d6a07ef7b0b4b,Restore PushFilterPastJoinRule to RelDecorrelator; interim pending [OPTIQ-443] fix.,['f247bc610f8b8ddfd657e7a4dc00ea2e32fe9bed'],False,"['PushFilterPastJoinRule.java', 'RelDecorrelator.java']"
aacbeb5246eb4ee52a1ea89094a4564153be66f3,[OPTIQ-345] AssertionError in RexToLixTranslator comparing to date literal,['33e80e21ff1fcf546883c3b0589d6a07ef7b0b4b'],False,"['RexToLixTranslator.java', 'SqlFunctions.java', 'JdbcTest.java', 'misc.oq']"
b059c093d99ef18e74b0d4f873ef3c74b1e18517,"[OPTIQ-346] Add commutative join rule

CommutativeJoinRule is currently disabled.  Specifying ""-Doptiq.enable.join.commute=true"" enables CommutativeJoinRule and disables MergeProjectRule; the two together caused a planning-time explosion.

Tweak cost of joins, so that the left input contributes more to the cost than the right input (L log L vs. R). This reflects the cost of populating a hash table with the LHS. All else being equal, a join is more efficient if the smaller input is placed on the left.

Remove EnumerableJoinRel.getRows(), which was computing join row count assuming a many-to-one join. Fair enough, but it did not recognize that joining to a filtered dimension table reduces the row count of the fact-dimension join.

Fix display of a plan's provenance when one of the rule operands was a RelSubset.

Enable writing tests that provide arguments to EXPLAIN PLAN.",['4b9fba42e40a1c745de27e089dea1ca7749af160'],False,"['OptiqPrepareImpl.java', 'JavaRules.java', 'Programs.java', 'CommutativeJoinRule.java', 'LoptOptimizeJoinRule.java', 'VolcanoPlanner.java', 'RexUtil.java', 'JdbcTest.java', 'MaterializationTest.java', 'OptiqAssert.java', 'PlannerTest.java', 'misc.oq', 'TpcdsTest.java']"
2d6d78c39f211f54d11275cb3c4ab1db4adbed09,"[OPTIQ-354] Change maven groupId to ""org.apache.optiq""",['a10a8d778bcf6d042fa8637a5d3f34e1466324f3'],False,"['pom.xml', 'pom.xml', 'pom.xml', 'pom.xml', 'pom.xml', 'pom.xml', 'pom.xml', 'pom.xml']"
929f5310ad53b69a8917105501ad651656e09187,"Refactor test infrastructure to allow testing against heuristic bushy-join optimizer.

Add enum OptiqAssert.SchemaSpec, to allow more uniform use of various schemas in the test suite.",['a46153985300404213343e31486444695253f702'],False,"['Programs.java', 'LoptJoinTree.java', 'LoptOptimizeJoinRule.java', 'OptimizeBushyJoinRule.java', 'OptiqAssert.java', 'PlannerTest.java']"
249b00cb7c50f91f1f3878f0b95296f77b24eb45,"Add fluent method withHook, to more easily add hooks in tests.

Previously you had to call Hook.addThread outside the test, and remember to close it in a 'finally' block. Now the AssertQuery instance has a list of hooks, and remembers to close them all. You can use hooks to, for example, enable non-standard combinations of planner rules.

Fix TPC-DS row-count estimates.",['d861a0887f92caf70b045c4a29cc9960589838e5'],False,"['JdbcTest.java', 'OptiqAssert.java', 'TpcdsSchema.java', 'TpcdsTest.java']"
50914222eb1c4dd210f0f96eb4876dee085bf832,Fix cartesian products in OptimizeBushyJoinRule.,['249b00cb7c50f91f1f3878f0b95296f77b24eb45'],False,"['OptimizeBushyJoinRule.java', 'PlannerTest.java']"
e4b5fe77abdbe637f7cd87f5c46fc571db87bdb2,Fix build breakage on JDK 1.6 due to missing method BitSet.previousClearBit.,['50914222eb1c4dd210f0f96eb4876dee085bf832'],False,"['BitSets.java', 'OptimizeBushyJoinRule.java', 'BitSetsTest.java']"
